popularity,acousticness,danceability,instrumentalness,speechiness,liveness,energy,loudness,valence,duration_ms,tempo,key,mode
58,0.189,0.5,0.0921,0.0286,0.0999,0.55,-8.447,0.522,240667,76.04,5,1
58,0.309,0.756,6.27E-05,0.0525,0.0423,0.537,-9.397,0.669,268567,116.01,9,1
58,0.261,0.502,0,0.357,0.118,0.64,-5.674,0.113,236547,99.804,11,0
58,0.481,0.611,4.82E-06,0.035,0.107,0.519,-9.854,0.462,199501,147.981,1,1
58,0.485,0.565,6.55E-06,0.141,0.104,0.566,-8.737,0.435,223101,138.836,9,0
58,0.00461,0.483,0.000661,0.0313,0.102,0.695,-5.493,0.294,295333,126.212,0,1
58,0.013,0.551,6.03E-06,0.0303,0.265,0.801,-5.069,0.625,240760,128.021,6,1
58,0.0503,0.6,0,0.145,0.0995,0.484,-8.838,0.108,238232,121.209,1,1
58,0.0117,0.793,0.00019,0.151,0.109,0.447,-9.253,0.188,192382,139.949,7,1
58,0.0263,0.785,2.03E-06,0.0401,0.122,0.44,-6.566,0.22,216961,118.089,10,1
58,0.202,0.75,0.0082,0.0372,0.122,0.365,-6.741,0.101,237747,89.981,7,1
58,0.133,0.445,0,0.0501,0.273,0.771,-4.607,0.448,226827,147.913,0,1
58,0.893,0.615,8.06E-06,0.0282,0.127,0.444,-6.773,0.125,164577,120.098,8,0
58,0.189,0.716,0,0.0339,0.104,0.684,-3.052,0.638,227662,114.058,10,1
58,0.00251,0.529,0.0965,0.0579,0.22,0.686,-5.869,0.116,231213,144.033,4,0
58,0.0635,0.743,0,0.181,0.111,0.616,-6.285,0.4,149760,150.859,1,1
58,0.135,0.727,0,0.259,0.182,0.632,-8.916,0.474,180389,83.755,1,1
58,0.728,0.953,0,0.39,0.27,0.374,-11.926,0.525,191687,102.998,4,0
58,0.295,0.738,2.25E-05,0.214,0.126,0.541,-4.985,0.394,178887,90.087,11,0
58,0.137,0.72,0.00157,0.0633,0.122,0.633,-5.212,0.634,212571,140.027,5,0
58,0.26,0.678,0,0.287,0.126,0.691,-6.441,0.294,191091,90.003,8,0
58,0.0747,0.712,0.185,0.0377,0.0938,0.8,-5.068,0.685,283880,107.047,9,0
58,0.236,0.756,0,0.0365,0.386,0.848,-3.832,0.89,204805,119.068,10,1
58,0.348,0.866,0,0.242,0.1,0.67,-6.139,0.519,164017,98.007,9,0
58,0.182,0.79,7.06E-06,0.142,0.338,0.629,-4.055,0.267,169620,170.023,8,1
59,0.000278,0.269,0,0.0362,0.609,0.666,-6.048,0.226,329080,171.722,6,1
59,0.2,0.713,2.09E-05,0.0511,0.137,0.666,-6.128,0.277,209224,112.015,11,1
59,0.0291,0.452,0,0.0422,0.118,0.81,-4.748,0.439,181733,167.143,9,1
59,0.00131,0.395,6.66E-05,0.0304,0.364,0.737,-4.962,0.239,268539,150.056,6,1
59,0.148,0.772,0,0.354,0.408,0.623,-6.149,0.692,158496,102.953,7,1
59,0.0542,0.768,0,0.0714,0.106,0.408,-8.551,0.0905,179915,129.96,4,0
59,0.244,0.717,0,0.343,0.148,0.617,-7.385,0.654,233684,152.049,9,0
59,0.828,0.739,7.35E-05,0.22,0.121,0.575,-8.109,0.532,80407,62.474,8,1
59,0.129,0.642,0,0.141,0.193,0.806,-5.86,0.59,196227,149.943,6,1
59,0.631,0.881,0,0.0901,0.0986,0.581,-5.162,0.876,163567,78.508,5,1
59,0.0896,0.806,0,0.244,0.211,0.691,-7.997,0.468,223493,130.023,5,0
59,0.252,0.386,0,0.0297,0.18,0.446,-7.807,0.4,191187,179.995,11,1
59,0.336,0.633,0,0.313,0.262,0.559,-5.135,0.473,168640,114.987,6,1
59,0.00105,0.536,1.43E-05,0.0266,0.0899,0.844,-5.605,0.473,274615,77.996,7,1
59,0.132,0.469,4.71E-05,0.0483,0.116,0.403,-10.047,0.208,224744,147.429,8,1
59,0.413,0.659,0,0.264,0.125,0.672,-7.442,0.452,178286,139.868,9,1
59,0.173,0.677,0,0.032,0.0427,0.616,-5.241,0.736,154387,89.988,1,1
